manager_id,first_name,last_name,email,age,gender,nationality,starting_date,years_of_experience,salary,performance_score
44,Carlynne,Igglesden,cigglesden17@engadget.com,55,Female,United Kingdom,2020-12-03,8,23910,6
45,Josh,Dyerson,jdyerson18@miibeian.gov.cn,49,Male,Germany,2021-09-18,7,44532,7
46,Vivyan,Consadine,vconsadine19@unblog.fr,60,,Germany,2022-10-12,23,44459,6
47,Chrystel,O'Corr,cocorr1a@biglobe.ne.jp,50,Female,Germany,2023-04-11,19,28474,7
48,Clint,McGreal,cmcgreal1b@phpbb.com,36,Male,Germany,2021-08-31,11,27422,9
49,Kristian,Lintill,klintill1c@yellowbook.com,35,Male,Germany,2020-07-13,,16851,1
50,Chase,Tull,ctull1d@merriam-webster.com,42,,Israel,2022-04-19,11,46930,8
51,Laryssa,Goudge,lgoudge1e@weibo.com,60,Female,Italy,2023-07-22,12,23695,8
52,Mag,Wankel,mwankel1f@howstuffworks.com,30,Genderqueer,China,2022-01-22,10,27265,7
53,Carolee,Ferryn,cferryn1g@bizjournals.com,54,Female,China,2023-09-02,9,23389,7
54,Gae,Boller,gboller1h@aboutads.info,,Female,India,2023-08-19,28,49312,7
55,Tabby,Linscott,tlinscott1i@shinystat.com,37,Male,Mexico,2021-04-17,12,19321,2
56,Cleve,Bettridge,cbettridge1j@booking.com,52,Male,India,2021-08-19,23,22548,7
57,Rachele,Denslow,rdenslow1k@ezinearticles.com,49,Female,France,2021-01-25,8,42993,7
58,Pavla,Fortin,pfortin1l@tuttocitta.it,48,Female,Australia,,17,48828,6
59,Kaylil,Blaes,kblaes1m@constantcontact.com,36,Female,United States,2021-05-17,8,25198,8
60,Cheslie,Sherborn,csherborn1n@fema.gov,31,,Australia,2022-12-31,17,23235,7
61,Drew,Haxell,dhaxell1o@eepurl.com,34,Male,Brazil,2023-12-08,13,27869,6
62,Jayme,Wais,jwais1p@reference.com,54,Male,Japan,2020-01-18,18,17089,8
63,Zacharias,Bedward,zbedward1q@ftc.gov,58,Male,Italy,2020-04-07,21,43444,9
64,Stacy,Fetteplace,sfetteplace1r@unc.edu,45,Male,Germany,2020-02-18,15,39659,9
65,Mirella,Gales,mgales1s@yolasite.com,31,Female,Russia,2023-11-14,8,23328,9
66,Lida,Gardiner,lgardiner1t@google.co.jp,46,Female,Germany,2021-03-15,9,34746,1
67,Mada,Newell,mnewell1u@berkeley.edu,57,Female,Japan,2020-01-20,29,35942,6
68,Elvera,Baake,ebaake1v@clickbank.net,59,Female,Israel,2021-09-10,8,52386,7
69,Tadeo,Haylock,thaylock1w@mlb.com,35,Male,Japan,2023-11-17,5,31906,8
70,Adolphus,Puckrin,apuckrin1x@yahoo.com,52,,Spain,,4,23955,8
71,Mikol,Skilbeck,mskilbeck1y@addthis.com,60,Male,Canada,2022-04-22,26,37175,8
72,Aldric,Swaden,aswaden1z@forbes.com,36,Male,Japan,2023-04-10,9,20083,1
73,Marlane,Greenman,mgreenman20@state.gov,56,,Germany,,7,30140,2
74,Cally,Gherarducci,cgherarducci21@auda.org.au,,,Germany,,19,49294,3
75,Antoni,Reddick,areddick22@geocities.jp,46,Male,Germany,2023-08-16,6,34925,9
76,Arney,McVicker,amcvicker23@skype.com,34,Polygender,Russia,2021-05-10,23,39771,8
77,Gavra,Jorgensen,gjorgensen24@walmart.com,55,Female,Italy,2021-06-19,13,25813,3
78,Agata,Whye,awhye25@reverbnation.com,44,Female,Mexico,2023-01-08,12,50554,4
79,Sharia,Bellhouse,sbellhouse26@moonfruit.com,53,Genderfluid,Japan,2021-03-07,30,49658,9
80,Phaidra,MacGorrie,pmacgorrie27@jigsy.com,52,Female,Germany,2020-06-13,23,39574,6
81,Yalonda,Puller,ypuller28@forbes.com,60,Female,India,2021-01-07,6,38088,7
82,Alayne,Uff,auff29@uol.com.br,40,,China,2021-06-07,25,39357,6
83,Llewellyn,Bransby,lbransby2a@ycombinator.com,55,Male,Italy,2023-11-22,,34237,9
84,Kimberlee,Houlaghan,khoulaghan2b@paypal.com,47,Female,Germany,2021-09-26,24,49055,9
85,Kelsy,Jahan,kjahan2c@japanpost.jp,41,Female,Italy,2023-02-05,10,46386,1
86,Norri,Righy,nrighy2d@cafepress.com,57,Female,Germany,2022-02-09,26,30966,7
87,Vivyanne,Paolinelli,vpaolinelli2e@domainmarket.com,33,Female,Brazil,2020-08-17,30,42905,1
88,Olva,Androletti,oandroletti2f@istockphoto.com,31,Female,Australia,2022-03-24,16,35930,7
89,Min,Egger,megger2g@privacy.gov.au,43,Female,United Kingdom,2023-02-22,12,21147,9
90,Blanch,Velte,bvelte2h@scribd.com,56,Female,Israel,2022-06-10,30,46203,6
91,Liana,Hobden,lhobden2i@uol.com.br,33,Female,Germany,2020-06-17,14,30450,8
92,Ladonna,Ciccarelli,lciccarelli2j@dailymotion.com,,Female,Italy,2021-12-21,12,41809,6
93,Wylma,Breitling,wbreitling2k@symantec.com,38,Female,China,,16,18082,8
94,Druci,Chartres,dchartres2l@example.com,46,Female,Australia,,18,16653,4
95,Christen,Ayllett,cayllett2m@desdev.cn,46,Female,Spain,2022-12-30,17,26969,7
96,Ennis,Maidlow,emaidlow2n@yellowpages.com,38,Male,Spain,2022-09-02,22,52314,7
97,Dionne,Maudlin,dmaudlin2o@mlb.com,54,Female,Russia,2020-10-31,16,46955,8
98,Sawyer,Knightley,sknightley2p@constantcontact.com,47,Male,Japan,2023-10-29,11,22645,3
99,Burnard,Rubrow,brubrow2q@cafepress.com,33,Male,France,2023-03-30,12,23835,8
100,Jordon,Klimochkin,jklimochkin2r@plala.or.jp,57,Male,Germany,2020-03-08,16,49957,8
